id,timestamp,co2_intensity_g_per_kwh
,2025-09-27T12:45:00+00:00,239.7
,2025-09-27T13:00:00.752762+00:00,197.0
,2025-09-27T13:00:00.554667+00:00,231.0
,2025-09-27T13:15:00.554667+00:00,212.2
,2025-09-27T13:30:00.554667+00:00,267.4
,2025-09-27T13:45:00.554667+00:00,210.6
,2025-09-27T14:00:00.554667+00:00,201.7
,2025-09-27T14:15:00.554667+00:00,263.4
,2025-09-27T14:30:00.554667+00:00,228.3
,2025-09-27T14:45:00.554667+00:00,218.2
,2025-09-27T15:00:00.554667+00:00,237.4
,2025-09-27T15:15:00.554667+00:00,242.9
,2025-09-27T15:30:00.554667+00:00,225.7
,2025-09-27T15:45:00.554667+00:00,282.2
,2025-09-27T16:00:00.554667+00:00,229.0
,2025-09-27T16:15:00.554667+00:00,231.1
,2025-09-27T16:30:00.554667+00:00,236.8
,2025-09-27T16:45:00.554667+00:00,263.7
,2025-09-27T17:00:00.554667+00:00,198.3
,2025-09-27T17:15:00.554667+00:00,243.6
,2025-09-27T17:30:00.554667+00:00,264.7
,2025-09-27T17:45:00.554667+00:00,228.7
,2025-09-27T18:00:00.554667+00:00,260.1
,2025-09-27T18:15:00.554667+00:00,245.7
,2025-09-27T18:30:00.554667+00:00,208.3
,2025-09-27T18:45:00.554667+00:00,236.5
,2025-09-27T19:00:00.554667+00:00,211.8
,2025-09-27T19:15:00.554667+00:00,237.9
,2025-09-27T19:30:00.554667+00:00,272.7
,2025-09-27T19:45:00.554667+00:00,300
,2025-09-27T20:00:00.554667+00:00,237.1
,2025-09-27T20:15:00.554667+00:00,281.4
,2025-09-27T20:30:00.554667+00:00,217.8
,2025-09-27T20:45:00.554667+00:00,222.1
,2025-09-27T21:00:00.554667+00:00,263.0
,2025-09-27T21:15:00.554667+00:00,212.3
,2025-09-27T21:30:00.554667+00:00,254.3
,2025-09-27T21:45:00.554667+00:00,238.2
,2025-09-27T22:00:00.554667+00:00,267.3
,2025-09-27T22:15:00.554667+00:00,225.5
,2025-09-27T22:30:00.554667+00:00,282.7
,2025-09-27T22:45:00.554667+00:00,243.3
,2025-09-27T23:00:00.554667+00:00,226.0
,2025-09-27T23:15:00.554667+00:00,300
,2025-09-27T23:30:00.554667+00:00,233.7
,2025-09-27T23:45:00.554667+00:00,256.5
,2025-09-28T00:00:00.554667+00:00,285.3
,2025-09-28T00:15:00.554667+00:00,235.9
,2025-09-28T00:30:00.554667+00:00,249.9
,2025-09-28T00:45:00.554667+00:00,237.2
,2025-09-28T01:00:00.554667+00:00,232.4
,2025-09-28T01:15:00.554667+00:00,216.3
,2025-09-28T01:30:00.554667+00:00,237.2
,2025-09-28T01:45:00.554667+00:00,273.4
,2025-09-28T02:00:00.554667+00:00,292.1
,2025-09-28T02:15:00.554667+00:00,246.4
,2025-09-28T02:30:00.554667+00:00,235.4
,2025-09-28T02:45:00.554667+00:00,257.0
,2025-09-28T03:00:00.554667+00:00,229.6
,2025-09-28T03:15:00.554667+00:00,254.4
,2025-09-28T03:30:00.554667+00:00,254.2
